user_id,age,gender,occupation,zip_code
1,16,F,sales,74870
2,18,M,artist,75472
3,59,F,writer,61825
4,62,M,teacher,60981
5,64,M,sales,97043
6,45,M,developer,65072
7,53,M,designer,59414
8,34,F,doctor,80831
9,33,F,accountant,72046
10,37,F,engineer,51134
11,23,F,sales,23309
12,62,M,analyst,36548
13,69,M,designer,46859
14,55,M,engineer,81549
15,47,M,writer,57806
16,22,M,lawyer,29970
17,52,F,doctor,49275
18,46,M,nurse,55914
19,49,M,nurse,66556
20,59,M,accountant,36340
21,49,M,artist,82553
22,33,F,designer,52171
23,44,M,manager,78987
24,67,F,artist,87939
25,39,F,student,78462
26,72,F,scientist,43551
27,42,M,writer,71069
28,28,M,artist,51968
29,62,M,nurse,26174
30,23,M,doctor,12464
31,28,F,artist,76466
32,72,F,manager,94476
33,69,M,writer,53543
34,38,F,writer,76348
35,27,F,artist,31883
36,34,M,analyst,98329
37,44,F,lawyer,20397
38,74,M,nurse,52342
39,57,M,doctor,81986
40,36,F,teacher,75243
41,16,M,doctor,64729
42,18,F,student,85446
43,52,F,engineer,17704
44,37,M,nurse,44246
45,21,F,sales,16291
46,32,M,developer,65757
47,19,M,nurse,19882
48,60,M,lawyer,86670
49,56,F,scientist,94275
50,73,M,doctor,55043
51,20,M,designer,18192
52,62,M,writer,93711
53,49,M,sales,82869
54,34,M,sales,16701
55,27,M,writer,39571
56,29,M,designer,60891
57,19,M,developer,23631
58,55,M,student,62823
59,35,F,artist,14992
60,20,F,scientist,92852
61,61,M,engineer,49016
62,48,M,writer,21640
63,53,F,analyst,57848
64,21,F,accountant,19667
65,58,F,manager,24258
66,23,M,scientist,38189
67,72,F,doctor,96712
68,48,F,student,68452
69,17,M,manager,57168
70,40,F,accountant,86294
71,43,F,designer,81489
72,45,F,engineer,67040
73,55,M,designer,91337
74,53,F,doctor,64716
75,45,M,teacher,62567
76,48,M,designer,78916
77,37,M,scientist,88650
78,35,M,developer,15038
79,35,M,teacher,41327
80,67,M,teacher,15169
81,61,M,engineer,94623
82,17,F,lawyer,39199
83,72,F,nurse,76559
84,15,M,lawyer,33061
85,32,M,developer,91204
86,24,M,student,66991
87,32,M,sales,52295
88,43,M,developer,96533
89,39,F,scientist,23430
90,32,F,designer,64935
91,73,M,manager,57549
92,20,M,designer,17794
93,16,M,doctor,42838
94,71,F,writer,46975
95,61,F,doctor,76851
96,43,M,artist,43642
97,31,M,doctor,45923
98,18,F,manager,29865
99,46,M,writer,30482
100,55,F,developer,56558
101,57,F,designer,32816
102,20,M,sales,57395
103,50,F,nurse,28631
104,65,F,developer,48172
105,51,F,developer,59538
106,59,F,analyst,21875
107,21,M,doctor,39822
108,34,F,scientist,49027
109,28,F,developer,84339
110,71,F,developer,30849
111,39,M,sales,45768
112,41,F,student,34496
113,44,M,student,34321
114,58,M,designer,11414
115,71,F,scientist,88488
116,64,M,artist,60879
117,50,M,engineer,56442
118,73,M,analyst,12961
119,74,F,nurse,14353
120,25,M,doctor,34930
121,37,F,scientist,70000
122,25,F,doctor,47284
123,63,M,analyst,62442
124,19,F,scientist,72952
125,17,M,student,12373
126,56,F,artist,90167
127,19,M,student,22802
128,72,M,scientist,13182
129,39,M,scientist,82537
130,73,F,writer,41204
131,64,F,teacher,90289
132,50,M,nurse,92101
133,27,M,developer,94875
134,33,F,nurse,62708
135,55,M,doctor,23066
136,43,M,manager,34738
137,62,M,developer,56002
138,61,F,accountant,36359
139,24,F,sales,15541
140,36,M,manager,22229
141,67,F,nurse,85073
142,44,F,writer,61420
143,39,F,developer,54978
144,74,M,lawyer,79298
145,53,F,analyst,66297
146,68,M,accountant,69877
147,70,M,developer,64547
148,24,M,lawyer,71370
149,32,M,manager,77882
150,62,F,nurse,68133
151,52,F,accountant,88512
152,44,M,designer,53211
153,67,F,developer,66764
154,50,M,designer,55498
155,65,F,doctor,78584
156,69,M,doctor,87306
157,29,F,doctor,48418
158,66,F,manager,77053
159,16,M,designer,66362
160,28,F,accountant,87442
161,54,M,designer,15439
162,47,F,scientist,42742
163,35,M,designer,87146
164,29,F,student,99780
165,17,F,scientist,15474
166,57,M,designer,39246
167,54,M,designer,79644
168,39,M,scientist,29257
169,25,F,developer,98938
170,57,M,nurse,60117
171,43,M,engineer,59849
172,67,F,lawyer,86738
173,38,F,accountant,30639
174,61,M,accountant,19536
175,16,F,teacher,74466
176,71,M,lawyer,83385
177,24,M,engineer,23171
178,49,M,developer,83588
179,71,F,lawyer,23776
180,71,F,scientist,97774
181,28,M,artist,79520
182,73,M,artist,51054
183,39,M,teacher,38061
184,25,F,teacher,18935
185,42,M,sales,65498
186,68,F,scientist,48478
187,67,M,nurse,75305
188,42,F,student,97565
189,21,M,doctor,10291
190,32,M,doctor,57107
191,33,M,lawyer,83861
192,67,M,analyst,71243
193,43,F,scientist,15917
194,56,F,teacher,70460
195,17,M,doctor,48170
196,61,M,scientist,41318
197,23,M,nurse,82348
198,33,M,doctor,46465
199,18,M,artist,30589
200,47,F,lawyer,26974
201,72,M,analyst,19714
202,21,F,writer,70096
203,30,M,student,67201
204,74,M,student,83229
205,55,M,scientist,23994
206,61,M,sales,62028
207,32,M,nurse,63832
208,17,F,lawyer,66221
209,24,M,nurse,96768
210,47,M,artist,72326
211,40,M,designer,10016
212,34,M,manager,63561
213,28,M,analyst,52320
214,44,F,teacher,43583
215,64,F,student,75573
216,55,M,teacher,98044
217,63,M,analyst,63715
218,74,M,analyst,77752
219,24,F,accountant,39281
220,49,F,designer,97221
221,54,F,student,36664
222,32,M,lawyer,84926
223,25,M,accountant,21643
224,41,M,developer,72045
225,72,M,writer,84266
226,28,M,doctor,91941
227,42,M,lawyer,44003
228,35,M,engineer,44716
229,43,M,doctor,85863
230,24,M,analyst,36152
231,24,F,analyst,61992
232,27,M,lawyer,36600
233,53,F,designer,73521
234,55,M,doctor,39888
235,44,M,student,46130
236,24,M,manager,94547
237,67,F,analyst,41462
238,62,F,sales,39587
239,23,F,designer,14888
240,46,M,manager,65441
241,54,F,sales,52318
242,41,M,student,79747
243,74,F,student,74638
244,57,F,artist,21572
245,59,M,nurse,81878
246,69,M,accountant,26045
247,48,M,writer,24742
248,72,M,engineer,39519
